ID,ESG_DISC_SCORE,YEAR
AMRS US Equity,11.15699959,2010
AMRS US Equity,13.63640022,2017
AMRS US Equity,14.8760004,2018
EDU US Equity,14.04959965,2015
LLNW US Equity,11.15699959,2010
LLNW US Equity,16.52890015,2016
UNSS US Equity,7.438000202,2010
DHX US Equity,11.15699959,2010
DHX US Equity,11.98349953,2016
DHX US Equity,14.8760004,2017
DHX US Equity,17.35540009,2018
CTHR US Equity,11.15699959,2010
CTHR US Equity,16.52890015,2013
GLRE US Equity,11.84210014,2010
GLRE US Equity,18.42110062,2012
GLRE US Equity,17.54389954,2018
CMCT US Equity,11.15699959,2010
CMCT US Equity,9.090900421,2013
CMCT US Equity,14.8760004,2017
CMCT US Equity,15.70250034,2020
KNDI US Equity,14.04959965,2010
KNDI US Equity,16.11569977,2015
KNDI US Equity,15.28929996,2017
PFIE US Equity,10.33059978,2012
PFIE US Equity,11.15699959,2014
PFIE US Equity,13.63640022,2017
AP US Equity,14.04959965,2010
AP US Equity,14.8760004,2016
FRBK US Equity,11.84210014,2010
FRBK US Equity,13.5965004,2016
FRBK US Equity,15.78950024,2019
KOS US Equity,11.20330048,2011
KOS US Equity,33.19499969,2012
KOS US Equity,36.09960175,2013
KOS US Equity,41.90869904,2014
KOS US Equity,44.39830017,2015
KOS US Equity,45.22819901,2016
KOS US Equity,50.20750046,2017
KOS US Equity,56.8465004,2018
KOS US Equity,66.38999939,2019
JCS US Equity,14.04959965,2010
JCS US Equity,12.80990028,2011
JCS US Equity,15.28929996,2016
PRKR US Equity,11.15699959,2010
PRKR US Equity,12.80990028,2016
PRKR US Equity,14.04959965,2017
RCON US Equity,12.80990028,2010
RCON US Equity,11.57019997,2011
RCON US Equity,9.91740036,2012
UTSI US Equity,12.80990028,2010
UTSI US Equity,9.504099846,2011
UTSI US Equity,10.74380016,2012
UTSI US Equity,11.98349953,2017
LTBR US Equity,8.677700043,2010
LTBR US Equity,9.91740036,2013
LTBR US Equity,11.98349953,2014
LTBR US Equity,11.15699959,2015
LTBR US Equity,12.80990028,2017
CDXC US Equity,11.15699959,2010
CDXC US Equity,10.33059978,2012
CDXC US Equity,14.8760004,2016
ENZ US Equity,12.80990028,2011
ENZ US Equity,14.04959965,2012
ENZ US Equity,14.8760004,2016
ABCP US Equity,11.84210014,2010
ABCP US Equity,10.96490002,2017
ABCP US Equity,13.5965004,2018
ATHX US Equity,11.15699959,2010
ATHX US Equity,11.98349953,2014
